ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
"11511749,JB522108,11/18/2018 11:38:00 AM,020XX W JACKSON BLVD,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,SIDEWALK,false,false,1225,012,27,28,10,1163033,1898630,2018,11/25/2018 04:09:36 PM,41.877487054,-87.676849399,""(41.877487054, -87.676849399)"""
"11511737,JB521743,11/18/2018 07:30:00 PM,003XX S KILBOURN AVE,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,SIDEWALK,false,false,1131,011,28,26,03,1146441,1898162,2018,11/25/2018 04:09:36 PM,41.876534902,-87.737783136,""(41.876534902, -87.737783136)"""
"11511719,JB521937,11/18/2018 03:30:00 PM,052XX N CLARK ST,0890,THEFT,FROM BUILDING,RESTAURANT,false,false,2013,020,48,77,06,1165050,1934712,2018,11/25/2018 04:09:36 PM,41.976455598,-87.668416181,""(41.976455598, -87.668416181)"""
"11511707,JB521843,11/18/2018 06:17:00 AM,047XX W GLADYS AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1131,011,28,25,14,1144906,1897937,2018,11/25/2018 04:09:36 PM,41.875946563,-87.7434249,""(41.875946563, -87.7434249)"""
"11511699,JB521152,11/18/2018 10:55:00 PM,009XX E 130TH PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0533,005,9,54,08B,1184852,1819085,2018,11/25/2018 04:09:36 PM,41.658722261,-87.599229714,""(41.658722261, -87.599229714)"""
11511684,JB520521,11/18/2018 10:00:00 AM,069XX S COTTAGE GROVE AVE,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,STREET,false,true,0321,003,5,69,04B,,,2018,11/25/2018 04:09:36 PM,,,
"11511676,JB521824,11/18/2018 05:00:00 PM,065XX S EBERHART AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0312,003,20,42,14,1180701,1861696,2018,11/25/2018 04:09:36 PM,41.775748268,-87.613114795,""(41.775748268, -87.613114795)"""
"11511645,JB521635,11/18/2018 03:00:00 PM,027XX W ROOSEVELT RD,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,1135,011,28,29,06,1158071,1894595,2018,11/25/2018 04:09:36 PM,41.866517317,-87.695178701,""(41.866517317, -87.695178701)"""
"11511613,JB521175,11/18/2018 09:58:00 PM,004XX E WALDRON DR,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,SPORTS ARENA/STADIUM,false,false,0132,001,4,33,26,1179607,1892517,2018,11/25/2018 04:09:36 PM,41.860348644,-87.616182263,""(41.860348644, -87.616182263)"""
"11511612,JB521660,11/18/2018 09:00:00 PM,012XX W 15TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1233,012,25,28,07,1168140,1892872,2018,11/25/2018 04:09:36 PM,41.861577918,-87.658264204,""(41.861577918, -87.658264204)"""
"11511593,JB521654,11/18/2018 09:00:00 PM,056XX W WASHINGTON BLVD,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1513,015,29,25,07,1138453,1900176,2018,11/25/2018 04:09:36 PM,41.882209936,-87.767064116,""(41.882209936, -87.767064116)"""
"11511585,JB521466,11/18/2018 07:00:00 PM,047XX S UNION AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0935,009,11,61,06,1172433,1873283,2018,11/25/2018 04:09:36 PM,41.80773027,-87.643083303,""(41.80773027, -87.643083303)"""
"11511583,JB521640,11/18/2018 04:40:00 PM,0000X W WASHINGTON ST,0870,THEFT,POCKET-PICKING,CTA TRAIN,false,false,0111,001,42,32,06,1175800,1900817,2018,11/25/2018 04:09:36 PM,41.883210775,-87.629906972,""(41.883210775, -87.629906972)"""
